Price,Close,High,Low,Open,Volume
Ticker,HAL.NS,HAL.NS,HAL.NS,HAL.NS,HAL.NS
Date,,,,,
2018-04-02,475.9983825683594,478.3799276627845,463.0552027073533,467.07274551249105,352730
2018-04-03,467.4454345703125,475.0663876045091,466.51352578904823,472.5812975211376,115130
2018-04-04,462.1854553222656,472.1672260416369,461.81268161089923,468.0254082693418,163364
2018-04-05,461.3776550292969,468.5430182054573,459.534566805706,464.7118377251033,149988
2018-04-06,456.7803039550781,463.4072115355025,455.62062546407935,457.0495321873914,146026
2018-04-09,457.4429626464844,460.5700547346307,455.8069651398031,455.8069651398031,119028
2018-04-10,456.55255126953125,459.74173043713415,452.30718844342255,459.6589143130254,107306
2018-04-11,454.4815368652344,458.0848969338582,453.5288988630875,456.4281703626688,79912
2018-04-12,449.8634948730469,454.7922675579001,447.35767518995,453.94317479009555,109438
2018-04-13,465.14678955078125,476.30896640944275,457.7121975221203,461.8126065621989,289764
2018-04-16,475.439208984375,480.40938965034786,465.54025571278737,465.9544374349518,270532
2018-04-17,474.8179016113281,482.1074892754567,472.99549205547385,479.2082174327349,123586
2018-04-18,468.02532958984375,478.3798722798845,465.9544210518356,477.96569057228294,83918
2018-04-19,472.60205078125,477.7171846835769,467.65254911211275,471.3387763677962,101248
2018-04-20,466.1822814941406,474.61086986022855,463.0551891078429,472.6641853307278,69878
2018-04-23,468.56378173828125,475.8947776719133,464.8568251536527,468.85368870722874,79814
2018-04-24,468.356689453125,474.03095855417286,468.02532386737903,471.31804817883625,60078
2018-04-25,466.14080810546875,474.61085482500835,465.0639457186328,468.4395369321689,69828
2018-04-26,468.2117919921875,471.33888478190397,465.95452142323546,466.7828850168768,32780
2018-04-27,466.28582763671875,470.07555014702746,464.71191678574064,469.12296247136806,33144
2018-04-30,465.6852111816406,469.8477577307898,463.46934907050786,469.8477577307898,37230
2018-05-02,461.5019836425781,468.8329798967375,460.2594384768364,463.4693468216692,37722
2018-05-03,453.5290222167969,461.81265732577947,451.12674781147336,461.4192048818213,38088
2018-05-04,452.92840576171875,457.6707658721538,451.45804054357257,457.6707658721538,24564
2018-05-07,458.9754943847656,464.7326305457994,448.16536133954,451.66517673564505,42232
2018-05-08,457.40167236328125,463.42803793042924,455.1858097887272,457.75371679038375,25240
2018-05-09,452.8869934082031,457.2359015824545,451.45808666038073,455.59990396919153,19522
2018-05-10,449.6150817871094,452.22439684128346,448.9730797611468,451.45817060853324,25424
2018-05-11,448.6416320800781,451.8722698148457,443.6507725428138,450.422633752195,32238
2018-05-14,441.70404052734375,450.6089468109461,440.6893156164159,448.1445859933853,35344
2018-05-15,437.106689453125,448.82805292570714,435.51209986505,445.2453707607501,30794
2018-05-16,432.5299987792969,438.1628601683057,431.9915423091732,436.75463218123025,206278
2018-05-17,430.64544677734375,435.1600376729224,427.8289908353426,433.2340825478255,19002
2018-05-18,427.7875671386719,432.4057032962708,426.6278886914593,432.4057032962708,23104
2018-05-21,423.02447509765625,427.4147910671815,417.90934114299694,427.4147910671815,51328
2018-05-22,423.27294921875,426.1929248432344,418.8412004351028,424.5361982160498,21616
2018-05-23,420.6636962890625,424.122103722204,416.6668323677121,422.46537675453914,23970
2018-05-24,417.8057556152344,420.45652838973086,416.27327839496746,420.3943910279682,20556
2018-05-25,423.6043395996094,424.5362484376432,416.4804092040438,417.4951594391652,27830
2018-05-28,431.7223205566406,436.96172960643435,422.4653689085905,422.4653689085905,45700
2018-05-29,434.35235595703125,435.3049941508215,428.67808653292127,428.67808653292127,17038
2018-05-30,447.8753967285156,454.77153253870694,418.73772258345423,431.99153773940924,169116
2018-05-31,437.83148193359375,455.16497663878414,433.4411658552318,449.3871619234845,684704
2018-06-01,426.5450134277344,434.9115140992791,425.5924258537668,434.89078479057326,31148
2018-06-04,421.8648376464844,430.7697709994749,420.3944974158857,430.749041687213,20846
2018-06-05,411.5930480957031,422.07183963531776,410.01916275388226,422.05113560706565,42304
2018-06-06,412.8978271484375,415.9834611898622,409.62578097018286,410.03996275073916,18688
2018-06-07,413.99530029296875,418.32350397917713,412.5249603596638,412.5249603596638,21514
2018-06-08,410.2262878417969,413.7468324464512,409.00444671719356,412.3386044927311,27042
2018-06-11,408.8387756347656,411.98657195104346,407.55482238342444,410.26770765941734,29734
2018-06-12,403.3094177246094,410.86823351251604,401.2178052611448,409.0044159209774,46224
2018-06-13,399.4575500488281,405.87736646999036,399.06407237353756,400.92789004419757,38652
2018-06-14,403.0402526855469,417.49520593955947,393.07918660770025,397.6144818471995,412558
2018-06-15,401.1349792480469,403.8271603168257,397.61443477348996,401.77695583159596,27064
2018-06-18,392.9963073730469,401.1349881268173,391.6709461181822,400.0995338466758,32204
2018-06-19,385.2718505859375,393.86612148977287,384.7126900822373,392.25080262972347,35686
2018-06-20,383.15948486328125,387.65337152656093,382.2897133953665,385.6031670325961,30550
2018-06-21,377.7336730957031,383.94639798214564,377.319491436607,383.159442718006,35406
2018-06-22,378.727783203125,381.44066847281664,371.1068292757816,377.3609632733697,55906
2018-06-25,373.1777648925781,378.5414237280404,371.93521961546634,376.90540072391354,20008
2018-06-26,367.3998718261719,371.5209847959466,366.57150842640385,371.1068030960626,36168
2018-06-27,358.39141845703125,366.71648576004344,356.19626051212964,364.479894477528,54490
2018-06-28,349.52801513671875,356.2170357328245,347.9126960787788,356.2170357328245,45704
2018-06-29,349.73504638671875,352.05445385318745,349.15518188027886,349.5486595611027,26608
2018-07-02,355.5750427246094,364.0450648145732,345.07554516836296,349.65224858314605,38980
2018-07-03,349.7143249511719,355.5750063973607,348.76171205169754,354.9537338177497,18650
2018-07-04,346.5665588378906,350.7083760931986,345.84174081821175,348.36823923209107,21490
2018-07-05,342.9425048828125,347.85054873576127,342.1141413444482,345.8417772670875,16684
2018-07-06,343.2530822753906,346.17305819085414,341.2857192095588,341.69990090762866,27932
2018-07-09,340.6851501464844,344.84767114949926,339.649695902966,343.770808848098,19422
2018-07-10,351.2674865722656,354.4981240276004,339.6289910163674,339.6289910163674,43264
2018-07-11,347.6434020996094,352.03374331665054,346.069516685051,350.91544766327,18542
2018-07-12,344.4334716796875,351.6195389266982,342.9424277578152,347.6433796689666,15372
2018-07-13,342.42474365234375,348.2646959057685,338.8213575625162,342.5489931148247,26036
2018-07-16,336.9782409667969,341.20289961294526,336.3155603194053,339.2976737919598,18462
2018-07-17,338.0758361816406,340.7266093582006,334.658836918549,335.90138210512777,39086
2018-07-18,333.064208984375,337.5166620564132,331.98732144567725,336.68829869417357,19868
2018-07-19,328.6324768066406,335.07299722266777,327.84552146026715,333.00208871078473,25722
2018-07-20,325.1533203125,328.8395473478387,323.06170790061066,328.8395473478387,36970
2018-07-23,320.24530029296875,325.0705020024599,318.9406178065677,323.082434868609,29158
2018-07-24,323.972900390625,326.20946619293335,319.748242391186,320.576605713443,24700
2018-07-25,325.5260925292969,330.558384712871,324.3042515320915,324.3042515320915,22476
2018-07-26,323.9107666015625,329.27442422825317,320.9907909143348,323.89006257420624,27854
2018-07-27,326.91363525390625,329.75079527931797,322.64756848012405,322.64756848012405,25988
2018-07-30,368.7045593261719,374.33742040963546,327.61772908083816,327.61772908083816,277582
2018-07-31,401.1763916015625,404.6141199960627,371.520991469067,372.3493548837137,603636
2018-08-01,405.87738037109375,410.4126752476271,396.93104007773087,405.06972096355014,233110
2018-08-02,396.5997009277344,405.02831409747233,388.83379367778014,402.5639278075576,63904
2018-08-03,398.7948303222656,404.3241710545695,393.4726057147189,397.61442261697914,36284
2018-08-06,395.81280517578125,402.79175765150853,390.9254402319724,402.79175765150853,41678
2018-08-07,403.0816650390625,415.17577662140724,391.40173518707445,391.40173518707445,118838
2018-08-08,402.8538818359375,407.5548345000702,400.1202671684535,406.7057669841246,31618
2018-08-09,408.4245300292969,419.56602693741905,397.6765360387701,399.6853070035631,105504
2018-08-10,404.57269287109375,409.2115331202893,401.2592391616177,408.3831696929203,31512
2018-08-13,407.4927062988281,413.7675699489522,396.3097990029105,396.3097990029105,144522
2018-08-14,398.73272705078125,407.1406104923027,398.07002116398354,407.1406104923027,21722
2018-08-16,389.7449951171875,400.3894702841812,387.69479056515837,398.44281116124796,20654
2018-08-17,387.4462890625,397.49019561780426,383.26303858714266,393.88680965337426,24828
2018-08-20,382.6832275390625,388.0468861813945,382.3104538574921,383.55299908986336,23846
2018-08-21,378.6035461425781,383.49091125613694,376.9468190612765,382.2897740103337,16098
2018-08-23,376.6361389160156,383.03525157900555,372.8670953564014,381.04718436866347,24592
2018-08-24,370.7547912597656,378.9348805494614,369.03592694273027,376.8018344962389,16978
2018-08-27,381.08856201171875,386.3693785475035,378.934837452212,383.11806240007405,37228
2018-08-28,371.9144592285156,381.0885686332806,370.6926181685674,381.0885686332806,26086
2018-08-29,371.500244140625,375.93199294838604,369.4500398724001,372.78419717182237,13860
2018-08-30,371.3760986328125,373.63336908264364,366.55087084262885,369.4708473001911,14098
2018-08-31,369.5536193847656,372.76352753857,368.02114204895594,369.69857286695054,15506
2018-09-03,370.94110107421875,372.76351057109036,366.5507853949055,372.76351057109036,20372
2018-09-04,367.68975830078125,372.7634834927661,366.61289612699215,370.7132792776276,15780
2018-09-05,359.7996826171875,368.5596112509654,357.02465990307866,365.30829470361414,16608
2018-09-06,358.3707275390625,366.53011234942045,354.166773035963,359.9239089643979,19492
2018-09-07,381.87548828125,388.8337350725287,354.16672527783606,358.2671337996543,217730
2018-09-10,385.3753356933594,391.42237789737794,381.87549556420146,381.87549556420146,64412
2018-09-11,377.6301574707031,388.33674409108306,376.9053395101068,388.33674409108306,24346
2018-09-12,374.6687316894531,381.0471395724138,372.7635061034483,376.90532283793107,15452
2018-09-14,386.14166259765625,387.0528675558042,376.82257268860803,376.905414099285,47880
2018-09-17,394.77728271484375,397.614417141968,380.21878639200685,381.04714976105265,70804
2018-09-18,398.173583984375,400.9900398869333,386.410838375824,395.54354019025624,45500
2018-09-19,387.1564025878906,397.59378806127404,386.01740274074785,391.6295605680125,14520
2018-09-21,375.14508056640625,393.0584393679487,368.62171869070005,387.15635005183356,60708
2018-09-24,361.1250915527344,385.4168369383426,358.4743181409304,378.1272479753548,21528
2018-09-25,348.8031311035156,364.62485192579067,347.24994971811077,361.1664448194805,26562
2018-09-26,347.6848449707031,354.1253655692796,345.013367858725,348.76170731554674,15014
2018-09-27,342.2797546386719,350.3977055538298,339.7325271637457,347.8919114151951,12738
2018-09-28,322.9788513183594,346.5457977314435,321.81914773380566,344.59913888613426,37102
2018-10-01,332.4222106933594,342.8181861679124,326.97573669644527,329.27443999519994,36572
2018-10-03,335.673583984375,339.5668770304528,330.9933355491679,335.48719715225,22038
2018-10-04,332.4636535644531,335.48717489959466,328.4460860436772,333.87185616784984,17840
2018-10-05,328.11474609375,335.4664712306111,327.20354130254816,333.00208507246674,15152
2018-10-08,323.4552001953125,329.29515199070266,320.6180404130117,327.6177211796561,17200
2018-10-09,319.00274658203125,328.92240323436386,317.6773601019482,325.5468123078635,21170
2018-10-10,320.59735107421875,325.1119418744287,315.19228475556173,318.91992018631083,30230
2018-10-11,317.57379150390625,327.2242192383801,312.8314063857414,320.57660857388123,31590
2018-10-12,322.2955017089844,327.2035447686563,317.2631839149249,317.57382019160406,16456
2018-10-15,327.16217041015625,330.41348699578,321.03226036188477,322.1919894713291,17600
2018-10-16,333.2713317871094,339.7946938903657,327.2035594649205,327.2035594649205,20346
2018-10-17,327.7005920410156,339.81540772518366,325.1326602417754,339.81540772518366,14132
2018-10-19,322.9788513183594,330.10278088010693,321.07362580656695,327.5762828823419,9836
2018-10-22,316.9939270019531,324.6562877997652,314.77806520741586,323.0616985023479,11196
2018-10-23,311.9202880859375,317.6774249338874,311.05051646069023,314.1154717414038,13064
2018-10-24,312.2101745605469,318.9199234607145,311.29896972330135,318.9199234607145,9098
2018-10-25,307.34356689453125,311.87886217734257,306.9086811067873,310.63631690970374,13392
2018-10-26,309.16595458984375,313.12138501927706,306.49447739982145,308.5653860309013,20818
2018-10-29,310.7190856933594,312.00303872463235,306.5151317418998,310.63624430561606,14000
2018-10-30,312.7486267089844,314.23969616435744,309.8079464203296,312.6450812723466,11148
2018-10-31,315.02655029296875,317.0146424203674,310.61553092445155,312.68643915745724,16630
2018-11-01,312.3758239746094,318.50570770149227,311.4646192347493,318.50570770149227,128032
2018-11-02,313.390625,316.3727133168156,312.10664643281524,314.36394198123185,20094
2018-11-05,314.6538391113281,316.84899704143794,311.81667932951024,314.3639068685639,11864
2018-11-06,317.38751220703125,321.8192625777386,314.77817189070953,314.77817189070953,21044
2018-11-07,327.32781982421875,333.5819791849592,318.091572197841,319.085618472818,26842
2018-11-09,381.00579833984375,392.6442952931074,327.2242834422978,327.32782887882024,1126576
2018-11-12,370.8997497558594,388.8752474605763,364.47993275841014,387.25992855581075,291182
2018-11-13,354.3531494140625,368.0418495831154,352.8828094306969,364.47989706456957,92142
2018-11-14,350.5220031738281,362.4090242243151,345.84175454548927,355.57502548179946,105990
2018-11-15,346.77362060546875,353.29698223525213,341.699894893415,351.84734631752247,30954
2018-11-16,341.4928283691406,351.55743911596477,339.87750954819836,348.34753078381095,30946
2018-11-19,340.83013916015625,347.91263628699767,337.55809354036086,345.2204551728721,40668
2018-11-20,336.6883239746094,345.0133662783512,334.8866183586698,340.8508451264803,39034
2018-11-21,332.7536315917969,340.45740211166134,328.8603129886364,339.56690122785557,73314
2018-11-22,330.04071044921875,335.13516609102186,329.6886660809661,330.5377335947175,18246
2018-11-26,326.0024108886719,333.41627354265864,324.3042760048468,333.41627354265864,12532
2018-11-27,335.44580078125,358.2672045055233,321.8192114460019,324.73918765222726,165300
2018-11-28,328.96380615234375,339.6289846332035,327.20353397589116,335.4871677474327,33098
