Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2002-10-10,14.360806465148926,14.464948129898001,13.876008039946411,14.220753805940403,11842288
2002-10-11,14.658869743347168,14.845606274395637,14.335670763080573,14.658869743347168,12892512
2002-10-14,14.899469375610352,15.430952679588136,14.723505745638448,15.430952679588136,17501128
2002-10-15,14.899469375610352,14.899469375610353,14.899469375610353,14.899469375610353,0
2002-10-16,14.669641494750977,15.369905899029176,14.55113564931669,15.197533560958103,11582552
2002-10-17,15.21229362487793,15.331676224795059,14.492377928595886,14.687731775744206,17761400
2002-10-18,15.812824249267578,16.01903062634555,15.422115512024721,15.534263420974739,34027640
2002-10-21,15.501702308654785,15.845380656221227,14.843286506444093,15.809203988056339,29538288
2002-10-22,12.669072151184082,14.883084020539636,12.480952997724517,14.832436895846525,125442440
2002-10-23,12.090243339538574,12.752275947097296,11.912976776487117,12.676304720650148,90007952
2002-10-24,11.728482246398926,12.524369352214341,11.583775499887032,12.3073092324465,59089792
2002-10-25,11.826152801513672,11.967241588928577,11.420974773656106,11.60547490118558,49617192
2002-10-28,11.746566772460938,12.07577363057409,11.648889308697463,11.974479382543043,31907544
2002-10-29,11.884039878845215,11.981717360555194,11.612714767456055,11.627185219258536,21697616
2002-10-30,11.58739185333252,12.133660021854096,11.449920890881314,11.999806948735777,26527136
2002-10-31,11.818912506103516,12.039589197397534,11.728470877204725,11.826147174001145,18102504
2002-11-01,11.576534271240234,11.92021263241768,11.09538500720155,11.876800187290792,25972520
2002-11-04,11.714005470275879,11.847859592781168,11.61271123445116,11.761035804356501,4551696
2002-11-05,11.800827980041504,11.86594553220615,11.395648910502857,11.728474653625614,13458432
2002-11-06,11.800827980041504,11.800827980041506,11.800827980041506,11.800827980041506,0
2002-11-07,11.822539329528809,12.003422740959941,11.717627171703699,11.829775107595946,17344632
2002-11-08,11.742952346801758,11.84424662470135,11.591009825927543,11.721246114673324,8507000
2002-11-11,11.960010528564453,12.57863197218453,11.905745509019265,12.24942396613879,40565424
2002-11-12,11.695916175842285,11.902123622461202,11.45353316570217,11.902123622461202,22490016
2002-11-13,11.73932933807373,11.902124352006956,11.348621746243726,11.666975998547851,28266368
